id,x,y,z,grainId,colorRGB,energy
325,0,10,25,12,0 101 255,0
326,0,10,26,12,0 101 255,0
327,0,10,27,12,0 101 255,1
328,0,10,28,12,0 101 255,1
329,0,10,29,12,0 101 255,2
330,0,11,0,10,0 255 255,0
331,0,11,1,10,0 255 255,0
332,0,11,2,10,0 255 255,0
333,0,11,3,10,0 255 255,1
334,0,11,4,10,0 255 255,2
335,0,11,5,19,255 0 76,1
336,0,11,6,19,255 0 76,1
337,0,11,7,6,50 255 0,1
338,0,11,8,6,50 255 0,0
339,0,11,9,6,50 255 0,0
340,0,11,10,6,50 255 0,0
341,0,11,11,6,50 255 0,0
342,0,11,12,6,50 255 0,0
343,0,11,13,6,50 255 0,0
344,0,11,14,6,50 255 0,0
345,0,11,15,6,50 255 0,2
346,0,11,16,16,204 0 255,2
347,0,11,17,16,204 0 255,0
348,0,11,18,16,204 0 255,0
349,0,11,19,16,204 0 255,0
350,0,11,20,16,204 0 255,0
351,0,11,21,16,204 0 255,0
352,0,11,22,16,204 0 255,0
353,0,11,23,16,204 0 255,1
354,0,11,24,12,0 101 255,2
355,0,11,25,12,0 101 255,0
356,0,11,26,12,0 101 255,0
357,0,11,27,12,0 101 255,0
358,0,11,28,12,0 101 255,0
359,0,11,29,12,0 101 255,1
360,0,12,0,10,0 255 255,1
361,0,12,1,10,0 255 255,0
362,0,12,2,10,0 255 255,0
363,0,12,3,10,0 255 255,0
364,0,12,4,10,0 255 255,1
365,0,12,5,19,255 0 76,1
366,0,12,6,19,255 0 76,1
367,0,12,7,6,50 255 0,1
368,0,12,8,6,50 255 0,0
369,0,12,9,6,50 255 0,0
370,0,12,10,6,50 255 0,0
371,0,12,11,6,50 255 0,0
372,0,12,12,6,50 255 0,0
373,0,12,13,6,50 255 0,0
374,0,12,14,6,50 255 0,2
375,0,12,15,16,204 0 255,2
376,0,12,16,16,204 0 255,0
377,0,12,17,16,204 0 255,0
378,0,12,18,16,204 0 255,0
379,0,12,19,16,204 0 255,0
380,0,12,20,16,204 0 255,0
381,0,12,21,16,204 0 255,0
382,0,12,22,16,204 0 255,0
383,0,12,23,16,204 0 255,0
384,0,12,24,16,204 0 255,2
385,0,12,25,12,0 101 255,2
386,0,12,26,12,0 101 255,0
387,0,12,27,12,0 101 255,0
388,0,12,28,12,0 101 255,0
389,0,12,29,12,0 101 255,1
390,0,13,0,11,0 178 255,2
391,0,13,1,10,0 255 255,2
392,0,13,2,10,0 255 255,1
393,0,13,3,10,0 255 255,1
394,0,13,4,10,0 255 255,2
395,0,13,5,19,255 0 76,1
396,0,13,6,19,255 0 76,1
397,0,13,7,6,50 255 0,2
398,0,13,8,6,50 255 0,1
399,0,13,9,6,50 255 0,1
400,0,13,10,6,50 255 0,1
401,0,13,11,6,50 255 0,1
402,0,13,12,6,50 255 0,1
403,0,13,13,6,50 255 0,2
404,0,13,14,16,204 0 255,2
405,0,13,15,16,204 0 255,0
406,0,13,16,16,204 0 255,0
407,0,13,17,16,204 0 255,0
408,0,13,18,16,204 0 255,0
409,0,13,19,16,204 0 255,0
410,0,13,20,16,204 0 255,0
411,0,13,21,16,204 0 255,0
